"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.310067500E0,4.655903935E-1,-2.660210642E0,9.392575461E-1,2.859318067E0
1.320118500E0,-5.802145314E-1,-1.852422769E0,5.317925692E-2,1.941892647E0
1.330168500E0,-1.304424350E0,-1.303993264E0,-5.119596907E-1,1.914164058E0
1.340219500E0,-2.073201061E0,-7.404764798E-1,-1.039567115E0,2.434577549E0
1.350274125E0,-2.724166317E0,-2.576213050E-1,-1.552882483E0,3.146250922E0
1.360324125E0,-3.299380894E0,3.827821255E-2,-2.389381646E0,4.073883179E0
1.370375125E0,-3.992720922E0,1.190962346E-1,-3.577168954E0,5.362102386E0
1.380425125E0,-4.998137375E0,2.454218204E-1,-4.653880506E0,6.833755399E0
1.390476125E0,-6.099028918E0,5.214332034E-1,-5.561815395E0,8.270661208E0
1.400527125E0,-7.255395920E0,8.116772939E-1,-6.258364960E0,9.615961832E0
1.410577125E0,-8.414373119E0,1.282581929E0,-6.635394595E0,1.079236549E1
1.420628125E0,-9.136559801E0,1.752806095E0,-7.105347596E0,1.170619574E1
1.430679125E0,-9.929031769E0,1.965101539E0,-7.460758320E0,1.257418827E1
1.440729125E0,-1.047530789E1,2.028816162E0,-7.754068691E0,1.318991098E1
1.450780125E0,-1.086127324E1,2.010263970E0,-7.893518937E0,1.357630505E1
1.460830125E0,-1.124374546E1,1.818284386E0,-7.929426688E0,1.387817631E1
1.470881125E0,-1.146448019E1,1.612738675E0,-7.977646337E0,1.405980346E1
1.480931125E0,-1.142483139E1,1.539900202E0,-7.883190415E0,1.396577087E1
1.490982125E0,-1.124561657E1,1.604053221E0,-7.723754970E0,1.373656688E1
1.501033125E0,-1.127397206E1,1.880281536E0,-7.762629599E0,1.381652355E1
1.511083125E0,-1.120909837E1,2.167151198E0,-7.800110251E0,1.382686337E1
1.521134125E0,-1.092142940E1,2.633743512E0,-7.600484555E0,1.356398136E1
1.531184125E0,-1.102577881E1,3.332143428E0,-7.501436815E0,1.374563685E1
1.541235125E0,-1.114582916E1,3.830445193E0,-7.344213957E0,1.388665895E1
1.551286125E0,-1.091229488E1,4.183246597E0,-6.845887926E0,1.354414682E1
1.561336125E0,-9.874491280E0,4.368619705E0,-6.755001145E0,1.273657947E1
1.571387125E0,-8.566025920E0,4.072141314E0,-6.522654430E0,1.151104495E1
1.581437125E0,-8.043432190E0,3.701680149E0,-4.916519015E0,1.012775378E1
1.591488125E0,-6.720958071E0,4.515853473E0,-8.653908402E-1,8.143286270E0
1.601539125E0,-3.165991872E0,7.818896770E0,8.508205728E0,1.198116088E1
1.611589125E0,4.628323204E0,1.211246395E1,2.357905850E1,2.690920212E1
1.621640125E0,1.951000335E1,1.285733608E1,3.915790275E1,4.559926172E1
1.631691125E0,3.787845011E1,7.842836441E0,4.948327400E1,6.280829143E1
1.641741125E0,4.827911244E1,-1.581212828E0,4.809677287E1,6.816650565E1
1.651792125E0,4.595050793E1,-4.130697670E0,4.374674848E1,6.357900475E1
1.661842125E0,3.982244349E1,-2.409686395E0,3.869310056E1,5.557688031E1
1.671893125E0,2.831283566E1,-5.104391223E0,2.887950570E1,4.076392182E1
1.681944125E0,1.885884689E1,-6.754602950E0,1.799075054E1,2.692485603E1
1.691994125E0,1.430867231E1,-8.454358719E0,1.006483803E1,1.942975165E1
1.702045125E0,1.130883082E1,-1.047056463E1,4.303602760E0,1.600135541E1
1.712095125E0,8.550174703E0,-1.221917681E1,1.801784420E-1,1.491463153E1
1.722146125E0,5.745855339E0,-1.376112968E1,-2.614580140E0,1.513999910E1
1.732197125E0,3.045598871E0,-1.478200207E1,-4.308677559E0,1.569547579E1
1.742247125E0,9.259539610E-1,-1.521094212E1,-5.367254557E0,1.615665722E1
1.752298125E0,-9.249225122E-1,-1.660696369E1,-6.054581308E0,1.770041467E1
1.762348125E0,-2.441774452E0,-1.794163276E1,-6.550765504E0,1.925557003E1
1.772399125E0,-3.489866223E0,-1.886183365E1,-6.977890574E0,2.041173416E1
1.782450125E0,-4.296624693E0,-1.967525151E1,-7.560351605E0,2.151128592E1
1.792500125E0,-5.274165714E0,-1.999636890E1,-8.371220668E0,2.231028751E1
1.802551125E0,-6.615082537E0,-1.955585137E1,-9.171917329E0,2.259014624E1
1.812602125E0,-7.888505534E0,-1.867012917E1,-9.694426859E0,2.246740205E1
1.822652125E0,-8.800296954E0,-1.778015839E1,-1.008377833E1,2.225447920E1
1.832703125E0,-9.172067603E0,-1.705885873E1,-1.020050045E1,2.189021916E1
1.842753125E0,-9.216811666E0,-1.635682214E1,-1.025833994E1,2.139459713E1
1.852804125E0,-9.184203499E0,-1.562836549E1,-1.041152412E1,2.090443102E1
1.862855125E0,-9.154265170E0,-1.465171909E1,-1.034595345E1,2.013733339E1
1.872905125E0,-8.837256619E0,-1.356663842E1,-9.765428429E0,1.890805053E1
1.882956125E0,-8.539044528E0,-1.260982929E1,-9.096319263E0,1.773883030E1
1.893006125E0,-8.081002305E0,-1.193550733E1,-8.291021428E0,1.662828824E1
1.903057125E0,-7.474500446E0,-1.110734746E1,-7.280198055E0,1.523950814E1
1.913108125E0,-6.750215199E0,-1.031243370E1,-6.186149508E0,1.379058156E1
1.923158125E0,-6.100207132E0,-9.882984946E0,-5.377927480E0,1.279875082E1
1.933209125E0,-6.023964118E0,-8.368123983E0,-4.938919698E0,1.143269743E1
1.943259125E0,-4.923067896E0,-7.699610063E0,-3.844615628E0,9.914719459E0
1.953310125E0,-4.582731294E0,-7.976828311E0,-2.856221589E0,9.632716013E0
1.963361125E0,-4.609663569E0,-7.885675482E0,-2.384435048E0,9.440254579E0
1.973411125E0,-3.958035824E0,-7.518517116E0,-2.051628928E0,8.740899752E0
